link,headline,date,description
https://indianexpress.com/article/technology/mobile-tabs/huawei-p40-p40-pro-p40-pro-plus-launched-specifications-price-features-6333276/,"Huawei P40, P40 Pro, P40 Pro+ launched: Cameras, processor, design, and the price",2020-03-26 21:13:09+05:30,"Huawei today launched the Huawei P40 series at an online event in Paris. The lineup includes the Huawei P40, Huawei P40 Pro, and the Huawei P40 Pro+ carrying three, four, and five Leica camera sensors at the back, respectively.The Huawei P40 has been priced Euro 799 (around Rs 65,900) for the 8GB RAM + 128GB ROM model, the P40 Pro is priced at Euro 999 (around Rs 82,000) for the 8GB RAM + 256GB ROM model, and the P40 Pro+ is priced at Euro 1399 (around Rs 1,15,000) for the 8GB RAM + 512GB ROM model. The P40 and P40 Pro will be available starting April 7, 2020, and the P40 Pro+ will be available from June 2020.Huawei also launched the Watch GT 2e smartwatch for Euro 199 (around Rs 16,800) and the Watch GT2 starting at Euro 249 (around Rs 21,000).The Huawei P40 features a 6.1-inch screen with 2340×1080 pixels resolution whereas the P40 Pro and the P40 Pro+ feature a 6.58-inch display with 2640×1200 pixels resolution. All the phone displays have 90Hz refresh rate and an in-display fingerprint sensor.The Huwei P40 series is powered by the Kirin 990 5G chipset. The P40 is backed by a 3800mAh battery whereas the P40 Pro and the P40 Pro+ sport a 4200mAh battery. The Huawei P40 supports 22.5W charging whereas the other two models support 40W charging speed.The Huawei P40 series runs EMUI 10.1 software and doesn’t use include Google apps like Chrome, YouTube, and Play Store. Instead, the device runs Huawei Mobile Services apps and comes with its own Huawei App Gallery. The P40 series also comes with a new voice assistant called Celia and a video calling app MeeTime.The Huawei P40 features a triple rear-camera setup carrying a 50MP primary camera clubbed with a 16MP ultra wide lens and 8MP 3x optical lens.The Huawei P40 Pro features a quad rear-camera setup carrying a 50MP primary camera with OIS clubbed with a 40MP ultra wide cine lens, 12MP 5x optical telephoto lens with OIS, and a ToF depth sensing lens.The Huawei P40 Pro+ features a penta rear-camera setup carrying a 50MP primary OIS camera clubbed with a 40MP ultra wide cine lens, 8MP 3x optical telephoto lens with OIS, a ToF depth sensing lens, and an 8MP periscope-style lens with OIS and 10x optical zoom.The Huawei P40 series supports 16-in-1 pixel fusion technology and the P40 Pro+ supports up to 100x digital zoom. On the front, the pill-shaped punch-hole carries a 32MP selfie camera, an IR depth/gesture camera, and an ambient and proximity sensor.The Huawei P40 Pro and P40 Pro+ boast of industry’s largest ultra wide cine camera. Both the models are capable of directional audio zoom, long distance telephoto video recording, 4K resolution at 60fps, 4K HDR+ time lapse, real-time bokeh, dual OIS + AIS stable recoding, and 7680 fps ultra slow motion video recording.📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlinesFor all the latest Technology News, download Indian Express App."
https://indianexpress.com/article/technology/social/covid-19-popular-streaming-services-in-india-and-their-prices-6332887/,"Netflix, Amazon Prime Video, Hotstar, Zee5, Voot, AltBalaji, YouTube Premium, SonyLIV: Pricing, benefits",2020-03-26 20:14:58+05:30,"On March 24 PM Narendra Modi announced that India will be locked down from 21 days to tackle the coronavirus pandemic, meaning people across the country will need to be at home all the time. Due to this internet consumption has gone up drastically given people are either playing games or watching movies or making video calls with friends and family members living far away. People are also depending a lot on OTT platforms for entertainment.Streaming services like Netflix, Amazon Prime Video, and some others have reduced their video quality in order to offer a smooth viewing experience at least during the lockdown period. There are a lot of streaming services available in India and a person who’s new to OTT platforms might get on about which one to opt for. To make it simple and easy for people to select streaming services and plans that suit them the best we have created a list of all the popular streaming services available in India, and explained how much they cost and the benefits they offer.Netflix is comparatively the most expensive streaming service platform currently available in India. The cheapest plan is priced at Rs 199, however, it only allows you to watch content on your phone or tablet, one screen at a time in SD quality. The Basic plan costs Rs 499, which allows streaming at one screen at a time in SD quality. The Rs 649 Standard plan users are allowed to stream via two screens in HD quality. Lastly, under the Premium plan, which costs Rs 799 offers customers to be logged in to four screens at a time in UHD quality.Hotstar is one of the most subscribed to streaming services in India. The company currently offers customers two types of subscription plans: Hotstar Premium and Hotstar VIP. The VIP plan which allows customers to stream sporting events along with all of Hotstar’s own content. Then there is the Premium pack, under which the users can stream everything on the platform. The Premium Pack has two sub categories a monthly plan priced at Rs 299 per month and a yearly plan priced at Rs 999 per year.Amazon Prime Video is a streaming service that provides consumers with more than what they get in other streaming services offer. It offers consumers with free music streaming and free delivery benefits. As of now, Amazon only offers a single Prime member subscription with two tiers: monthly, which is priced at Rs 129 and yearly, which is priced at Rs 999.YouTube Premium has its own original shows, but most of them are international shows. Regional premium content is very low, but the content that it has is very engaging. Moreover, Premium customers do not have to watch any sorts of ads and also get access to the YouTube Music service. It is priced at Rs 129 per month and at Rs 399 for three months for single users. Family users who want to add up to five members need to pay Rs 189 per month. Students can get a discounted price at Rs 79 per month.Zee5 currently offers two tiers of its main membership service to users, a monthly pack priced at Rs 99 per month and a yearly plan priced at Rs 999 per year. It also offers an add-on pack priced at Rs 198 per month, under which it offers consumers monthly subscription to its Zee5 platform and a Gaana+ monthly subscription. The regional pack, which offers regional content to users is priced at Rs 49. If you are a Vodafone customer, then you get a Zee5 subscription free of cost via the MyVodafone app.SonyLIV is a platform owned by Sony Entertainment, on which users can stream the company’s own shows, online exclusive series, movies, sports programmes and more. It currently offers four subscription plans to users consisting of Rs 29 a weekly plan, Rs 99 monthly plan, a half-yearly plan at Rs 299 and a yearly plan at Rs 499.Alt Balaji is a service we recommend that you only subscribe to if you are over the age of 18 as it contains a lot of sensitive content. The company offers two packs to choose from, quarterly and yearly, priced at Rs 100 and Rs 300, respectively. It also offers its users multiple free cashback offers with its subscription plans.Many only remember MX Player as a video player that could play the .mkv file format and had a slew of controls. Well, it is not the same now, as it has expanded and provides users with syndicated content along with its own originals. Also, a benefit this has is that it is completely free of cost with users not needing to pay even a single penny. But, due to it being free, the service does show ads in between consuming content.Voot was earlier a free of cost streaming platform, however, the company has recently changed that and is now offering customers premium content at a subscription cost of Rs 99 per month and at Rs 999 per year. However, it has not turned over to a fully paid platform as it still consists of free ad-supported content.📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlinesFor all the latest Technology News, download Indian Express App."
https://indianexpress.com/article/technology/tech-news-technology/cybersecurity-experts-come-together-to-fight-coronavirus-related-hacking-6333166/,Cybersecurity experts come together to fight coronavirus-related hacking,2020-03-26 20:02:13+05:30,"An international group of nearly 400 volunteers with expertise in cybersecurity formed on Wednesday to fight hacking related to the novel coronavirus. Called the COVID-19 CTI League, for cyber threat intelligence, the group spans more than 40 countries and includes professionals in senior positions at such major companies as Microsoft Corp and Amazon.com Inc.One of four initial managers of the effort, Marc Rogers, said the top priority would be working to combat hacks against medical facilities and other frontline responders to the pandemic. It is already working on hacks of health organizations. Also key is the defence of communication networks and services that have become essential as more people work from home, said Rogers, head of security at the long-running hacking conference Def Con and a vice president at security company Okta Inc.The group is also using its web of contacts in internet infrastructure providers to squash garden-variety phishing attacks and another financial crime that is using the fear of COVID-19 or the desire for information on it to trick regular internet users.“I’ve never seen this volume of phishing,” Rogers said. “I am literally seeing phishing messages in every language known to man.”Phishing messages try to induce recipients to enter passwords or other sensitive information on websites controlled by the attackers, who then use the data to take control of bank, email or other accounts. Rogers said the group had already dismantled one campaign that used a software vulnerability to spread malicious software. He declined to provide details, and said that in general the group would be reluctant to reveal what it was fighting.Rogers said law enforcement had been surprisingly welcoming of the collaboration, recognising the vastness of the threat. Rogers is a UK citizen based in the San Francisco Bay Area. Two other group coordinators are American, and one is Israeli.“I have never seen this level of cooperation,” Rogers said. “I hope it continues afterwards, because it’s a beautiful thing to see.”📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlinesFor all the latest Technology News, download Indian Express App."
https://indianexpress.com/article/technology/tech-news-technology/vodafone-idea-handle-surge-voice-data-services-demand-covid19-6333054/,Vodafone-Idea confident to handle surge in voice and data services demand due to COVID-19,2020-03-26 18:18:55+05:30,"Vodafone Idea on Thursday said it is monitoring traffic pattern and remains confident of handling surge in voice and data services demand amid country-wide lockdown to tackle the spread of coronavirus, as the company made an appeal to the telecom department to clear pending applications for spectrum allocation.The telecom company, in an advisory, said it has activated pandemic response plan with risk mitigation protocols while ensuring continuity of mission critical processes, to ensure uptime and smooth running of telecom networks, classified as essential services.Prime Minister Narendra Modi on Tuesday announced a complete lockdown of the entire country for 21 days in an unprecedented move to try halt the spread of the pandemic shortly after which the Centre said all road, rail and air services will remain suspended during this period.“We are hopeful that the Department of Telecommunications(DoT) would expedite our spectrum liberalization requests and regularize our backhaul spectrum. The Government realises the critical role of telecom services during this crisis and is taking necessary steps to enable smooth functioning of telecom operations,” Vodafone Idea Ltd (VIL) said.A comprehensive pandemic response plan with requisite risk mitigation protocols has been activated while ensuring continuity of mission critical processes for keeping VIL networks working, given the essential nature of telecom services.ALSO READ: Coronavirus impact: As internet speeds fall, streaming services forced to dial down quality“Our Business Continuity Plans are being diligently reviewed across all operations. Our flagship Super network operations centre, located in Pune and Hyderabad, is the nerve centre of all 22 circles with centralised monitoring and control of our network, and also ensures business continuity with geo-redundancy,” the advisory said.All enterprise services also continue to be monitored, to ensure business continuity, it added.
“We have set up virtual war rooms where key team members are participating through concalls and video conferencing,” it said.The company is continuously monitoring the traffic pattern and said it is confident of handling the growing demand of voice and data services during the lockdown period.The infrastructure and technology deployments are substantially helping in managing the traffic spike.“We are deploying capacities across using all means including addition of COW (Cell on wheels) sites wherever appropriate. We have also requested DoT to clear our pending applications for spectrum allocation,” it said.Assigning highest priority to health and safety of its employees, VIL said while majority of team members have been enabled to work from home, the company is operating certain critical facilities with minimal staff to enable undisrupted services to customers around the clock, as per the government orders of operating essential services.“We have organised temporary stay arrangement at our data centre locations, made food and groceries available at critical locations and providing vehicle on duty to facilitate movement of technical staff to sites. Our engineers are working in the field with utmost care by following the social distancing protocols,” VIL said.Each field engineer carries three documents: 1) the DoT letter, Personal ID and Employee ID – while vehicles are tagged with 2) Emergency Telecom Services 3) stickers, the company said adding that other measures include daily briefings on safety, social distancing to all field and non-field staff, and supply of masks, gloves and sanitizers to drive test and other teams on ground.📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlinesFor all the latest Technology News, download Indian Express App."
https://indianexpress.com/article/technology/tech-news-technology/fraudsters-at-wooe-are-scamming-upsc-aspirants-with-cheap-online-test-series-6332765/,FAKE educational portal scams UPSC aspirants with cheap online test-series,2020-03-26 18:30:23+05:30,"The civil services (preliminary) examination conducted by the Union Public Service Commission (UPSC) is scheduled on May 31, 2020. The candidates have been preparing for the exam amidst the 21 days lockdown in their homes taking online classroom sessions and online test series. However, fraudsters are equally active in this period trying very hard to trick the aspirants and steal money.UPSC CSE candidates often receive promotional messages from coaching institutes marketing their preparation material and fraudsters also ride along with similar messages. But this time, cybercriminals are sending alerts to aspirants regarding “important notification released due to Novel Coronavirus” with a link. We checked the link and here’s what we found.The URL takes you to a website where there is no such notification but an advertisement for test series. “Due to COVID-19 all students Please stay home. Our Expert Team Specially Designed Tests and study material. For all UPSC CSE 2020 aspirant [sic].”The website mentions that their test series is designed by “professor from top university due to COVID-19” in order to help poor students. Usually, the price of IAS (Prelims + Mains) test series is priced at Rs 40,000 but the website claims to offer the test-series for as little as Rs 699, which is also refundable within 48 hours.The website also claims to offer free Netflix subscription “due to COVID-19”.With just a simple look at the website and its grammatically incorrect sentences makes it clear that this isn’t a legit website but is a scam. However, the domain “iitmadras.online/upsc.html” ends up making it look authentic for some users — especially to marginalised aspirants who don’t have enough money to enroll with a test-series program run by reputed coaching institutions. We dug deeper to find the truth of the site.According to who.is, the domain was registered on August 21, 2019 by one Rudra Pratap from Guntur, Andhra Pradesh and expires on August 21, 2020.Once you click on registration link on the web page, it takes you to another website wooe.in — a fairly looking site claiming to offer test series for multiple competitive exams at a nominal fee with the promise of a refund. In my investigation, I found that the refund never really happens and the claims are false just to trick aspirants. Following are some screenshots of users who complained about the portal on Quora and consumercomplaints.in:I also discovered that to build its image as a genuine test series provider, Wooe has built a net of positive reviews around the internet including a long list of praises on Quora. Users who posted positive reviews of Wooe.in at Quora also claimed that it is run by IIT Madras.However, IIT Madras has denied its association with any such portal. Following is the notice issued by the IIT Madras:Wooe is not alone in running fake test-series or online coaching programs with prices too real to be true. Somehow, they get a hold of mobile numbers of government job aspirants and send them messages promoting their fake services. Unfortunately, lots of users fall for it and lose money.* If it’s too good to be true, it’s probably a scam. There is no way, a private organisation will provide Rs 40,000 worth of test series for Rs 699, that too with free Netflix subscription for a year.* If the message or website in question has grammar mistakes, it is probably fake that has been built in haste for the sole purpose of scamming people.* Look at the URL carefully. Most of these make-shift websites register a domain that gives it an impression of association with a reputed institute— in this case, IIT Madras. Check for the association. If IIT Madras would have been providing test series, you can find it with a simple Google Search. Also, if you just search IIT Madras, you will get to know that the institute’s URL is iitm.ac.in and not iitmadras.online.* Don’t trust random educational portals. Do your research before subscribing to any test-series or online course. In the case of Wooe, it is not easy to identify it based on its website alone but the cheap test-series amount should ring a bell in your head.Express Tech is now on Telegram. Click here to join our channel (@expresstechnology) and stay updated with the latest tech news* If you belong to financially weaker section and want to prepare for competitive exams, look out for government-aided coaching institutions. You can apply for free coaching programs and will be required to appear in a test to get enrolled.📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlinesFor all the latest Technology News, download Indian Express App."
https://indianexpress.com/article/technology/mobile-tabs/redmi-k30-pro-could-be-sold-as-poco-f2-hints-miui-11-code-6332775/,Xiaomi Redmi K30 Pro to be rebranded Poco F2 in India?,2020-03-26 16:56:46+05:30,"Xiaomi recently launched its Redmi K30 Pro in China. Given the younger sibling Redmi K30 was launched as rebranded Poco X2 in India last month it was speculated that the K30 Pro could also be redesigned into a Poco phone for India. Some concrete details are now being reported on the same.Folks at XDA Developers in the latest report suggest that the Redmi K30 Pro will be Poco phone in India. In fact, they have stated that it could turn out to be a long time awaited Poco F2. No confirmation from Redmi or Poco yet.An XDA developer user named kacskrz while digging the code for the Mi Camera app of MIUI 11 beta version found traces of the Redmi K30 Pro and Poco attached together. According to kacskrz the new MIUI Camera app has a new method called Bi, which returns true if b.kb and Build.IS_INTERNATIONAL_BUILD return true. And when b.kb return true, it consists of the model name lmi and lmiin, both of which are codenames for the Redmi K30 and Redmi K30 Pro, respectively.Also Read: Confused between Realme 6 and Redmi Note 9 Pro? Ditch them both and go for Poco X2The new Bi method is also called to get the watermark that will attach to the photo. According to XDA Developers, it pulls the hexadecimal value: 0x7F1000FF. This is the value that corresponds to the constant named device_poco_watermark_default_text. This code adds the watermark, ‘Shot on POCO Phone’ to the photos.The company has not shared any details regarding the Redmi K30 Pro international launch as of now. But, it is being reported that the new Redmi K30 Pro will be rebranded and sold as the Poco F2 in India. We will have to wait and see what Xiaomi ends up doing with this.The Redmi K30 Pro comes in three variants. The base model with 6GB RAM and 128GB storage is priced at 2,999 yuan (approximately Rs 32,266), 8GB RAM/128GB storage variant at 3,399 yuan (approximately Rs 36,560). And lastly, 8GB RAM/256GB storage variant is priced at 3,699 yuan (approximately Rs 39,770).The K30 Pro is a much upgraded version of the Redmi K30. The smartphone comes packed with a 6.67-inch Super AMOLED display with HDR10+ support. It is powered by the Qualcomm Snapdragon 865 processor and runs Google’s Android 10 operating system with the company’s own MIUI 11 on top. The phone is backed by a 4,700mAh battery with support for 33W fast charging which is there inside the box.Express Tech is now on Telegram. Click here to join our channel (@expresstechie) and stay updated with the latest tech newsThe Redmi K30 Pro includes a quad-camera setup on the back and single sensor on the front. It consists of a 64MP Sony IMX686 primary sensor, a 13MP ultra-wide-angle lens, an 8MP telephoto lens, and a 5MP depth sensor. For selfies the phone sports a 20MP motorised pop-up selfie camera just like its predecessor the Redmi K20 Pro that launched in India last year.📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlinesFor all the latest Technology News, download Indian Express App."
https://indianexpress.com/article/technology/social/working-from-home-zoom-video-conferencing-tool-tips-tricks-6332360/,Working from home and using Zoom? Tips and tricks for better video meetings,2020-03-26 16:17:41+05:30,"Amid the coronavirus outbreak, companies have asked its employees to work from home. To ensure a smooth coordination, they are relying on Zoom, which has seen a surge in its use. The video conferencing platform has always been popular but in these unprecedented times, Zoom has become an essential video conferencing tool for big and small enterprises.Zoom is fairly easy to use and the platform works across smartphones, laptops, and tablets. Think Zoom as similar to FaceTime and Skype. However, the video conferencing software has expanded features designed to meet the demand for an enterprise. Zoom is absolutely free to use but limits group sessions to 40 minutes and 100 participants. Paid plans start at $15 per month for longer meetings and larger groups.If you are new to Zoom, these tips and tricks will help you take advantage of the video conferencing platform.To use Zoom, you need a smartphone, tablet or laptop with a webcam. The software can be downloaded from the Zoom website or download the app from Google Play Store or Apple App Store.  Once you download the software or app onto your device, register the account. Once registered, click “Host a Meeting” and send out the invite URL to your colleagues or clients to join. Since the Zoom video conferencing platform works across many devices, invitees can attend a video or audio call on a laptop, smartphone or tablet.Express Tech is now on Telegram. Click here to join our channel (@expresstechnology) and stay updated with the latest tech newsOne nifty feature that can be accessed from the desktop app is the ability to do an audio test. Go to “Settings” in the upper right-hand corner and check your microphone, speakers and camera are working properly before the meeting starts.Zoom allows you to mute your mic when you’re not speaking. Save yourself from embarrassment, and hit the mute button when not speaking.The good thing about using the zoom software is the ability to record your meetings. The free version lets you record calls to your computer, which is handy for self-reference. Zoom also allows you to record your meeting in the cloud, however, that option is paid.If you’re not in the mood to show the other person your face, you can use a screenshot of yourself in a Zoom meeting as your profile picture. That way, you can attend a call without makeup.One of Zoom’s coolest yet underappreciated features is its “Virtual Backgrounds”. So Zoom has a “virtual background” feature through which you can change the background of your choice. To use it, go to “Preferences” and upload a photo. But remember, the image should give a relaxing vibe.📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlinesFor all the latest Technology News, download Indian Express App."
https://indianexpress.com/article/technology/tech-news-technology/app-lets-you-report-coronavirus-suspect-find-testing-labs-6332542/,"This app lets you report coronavirus suspect, find testing labs nearby and more",2020-03-26 15:53:28+05:30,"On March 24 PM Narendra Modi announced that India will be locked down for 21 days to fight coronavirus pandemic. People across the country have been asked to stay at home during this period as that could help reduce the spread of the virus. To help the Indian government, local authorities, police, and others during this phase a New Delhi based company MapmyIndia is helping citizens report about their grievances such as non-allowance of essential supplies, lapses in enforcement through their MapmyIndia Move app. The issues faced by the people are sent to the authorities.The MapmyIndia Move app is available for both iOS and Android phone users in each and every part of the country. Using this app people can share or tag the relevant authorities pin-pointing the specific problem, along with its location.READ: Cold, flu or Covid-19? This AI tool can help you differentiateAfter the problem has been reported, authorities can immediately activate the nearest and most suitable person/resource to reach the exact spot, using MapmyIndia’s live navigation guidance. Since the authorities have specific and accurate information about the nature problem the person dispatched/deployed will be well equipped/informed to handle the situation.* First download the MapmyIndia Move app on your Android or iOS smartphone.* Login to the app. It is very easy. Just enter your email ID and you’re good to go. It takes just a few seconds.Notably, the app has been available for a while now to help people report issues and have them resolved. Due to the coronavirus pandemic the app has been updated according to help the citizens in need.* The home page of the app shows your location. If you find any issues just swipe up from the bottom and click on “Report an issue” option.* The app will then ask you to select your location from the map. You can move the marker to point the exact location of the place.* You will then need to select report category. There are several categories available such as Maps, Traffic, Community, Safety, Road Condition, and Corona. If the problem you’re reporting is related to COVID-19 just select the last option “Corona”.Coronavirus impact: As internet speeds fall, streaming services forced to dial down quality* The app will then ask you to select a sub-category from options — corona treatment centre, corona sample collection centre, corona testing labs, corona suspect, and corona infected.* You will then need to add a related image and comment about the problem. Then click on ‘Done’.The MapmyIndia Move also includes related and latest coronavirus information that you must know. The updates are available on the home page itself. Just tap on the corona option on the extreme left and click on “Report COVID-19 Information”.The firm has also created a live dashboard maps.mapmyindia.com/corona to provide the latest, pan India updates related to coronavirus including confirmed cases, recoveries, and more.📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlinesFor all the latest Technology News, download Indian Express App."
https://indianexpress.com/article/technology/tech-news-technology/mozilla-firefox-testing-new-paid-ad-blocker-for-select-websites-6332672/,Mozilla Firefox testing new paid ad blocker for select websites,2020-03-26 15:04:05+05:30,"Mozilla, the organisation behind the popular Firefox web browser has announced a new test pilot initiative, called the Firefox Better Web in partnership with Scroll. Under this programme, the company will provide consumers with an ad-free browsing service on partner websites.The organisation at the beginning will be charging its customers $2.49 per month for the first six months. After this, it will increase the price to $4.99. In their tests, they were able to find out that the partner website were able to make 40 per cent more than what they were earning by displaying ads.Express Tech is now on Telegram. Click here to join our channel (@expresstechie) and stay updated with the latest tech newsIf people decide to use this service, they will also get better privacy protection. To enable this, Mozilla is using a customised Enhanced Tracking Protection setting, which will block all third-party trackers, fingerprinters, and cryptominers. Along with the added protection, these blocked scripts will also help in providing users with a faster browsing experience.Unlike ad blockers that are available online, this new feature allows users to block ads on partner websites, for which the partner websites get paid. All of those publishers who do not sign on as a partner will remain to function as is and will be able to show ads to their users.Also Read: Mozilla urges Firefox users to update their web browser to fix critical vulnerabilityAs of now, Firefox Better Web is currently only available in the US. However, the company has stated that it will soon be introducing it to other regions with apt partners.In related news, earlier reports suggest that Google is also working on developing privacy-friendly mechanisms, which will keep the web healthy. It is also limiting the number of ads that people see on a website by blocking ads after a certain number. It could be possible that Google also takes the same route and introduces voluntary ad blocking.📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlinesFor all the latest Technology News, download Indian Express App."
https://indianexpress.com/article/technology/mobile-tabs/before-razr-motorola-was-testing-tablet-style-foldable-phone-design-6332576/,"Before Razr, Motorola was testing tablet-style foldable phone design",2020-03-26 15:11:01+05:30,"Motorola’s original foldable device was a tablet-style phone, before it finalised the design of the new Razr. However, the company felt such a device was too large and thus veered in favour of a more compact, flip-style form factor.“We tested multiple prototypes. We tested a tablet-style too, but we wanted to have an ultra-compact design,” Prashanth Mani, Country Head, Lenovo Mobile Business Group and MD, Motorola Mobility, India, told indianexpress.com in a telephonic interview.The new Razr is a reboot of the iconic Razr flip phone from 2004. The revamped version, however, is a modern Android smartphone with a screen that measures 6.2-inch diagonal but folds in half. When fully closed, the device easily slips into a pocket.Motorola was first to launch the Razr foldable phone with a clamshell design late last year and soon Samsung followed with the Galaxy Z Flip. The Galaxy Z Flip too has a flip phone-style form factor but features a foldable glass screen and is cheaper than the Razr.Without getting into comparisons, Mani said both foldable phones have pros and cons. “I think both devices have their own uniqueness in this category,” he said.Like in the case of the Razr, the phone has a secondary 2.7-inch OLED screen on the outside of the clamshell for notifications when the phone is closed. The Galaxy Z Flip, in contrast, has a tiny 1.1-inch pill-shaped external display that is limited in functionality. The Razr is impressively thin and the hinge that allows the phone to lay completely flat. But where the Galaxy Z Flip scores over the Razr is on the display front and internal hardware. The Galaxy Z Flip is also cheaper in comparison to the Razr.“The design defined Razr for us. In every decision point, the look and feel of the device were kept in mind. So we have succeeded in our view in creating a device that embodies our code philosophy, simplicity, surprise, and richness,” he explains. Mani said it took the company four years to design the Razr and the team worked closely with Lenovo’s laptop team to perfect the hinge.Neither the Razr nor the Galaxy Z Flip is perfect, but many critics have found that the Razr is less powerful in terms of specifications. Some even had a harsh opinion on the average camera performance.Mani has defended the company’s decision to go with the Snapdragon 710 processor and a single 16MP camera on the Razr that costs Rs 124,999. “It’s not just about megapixel or megabytes. It’s also about what the design bodies, what kind of craftsmanship goes into it, and what kind of material is used. We believe that these are things that make a phone premium today,” he says. He said that as the price band goes up, the most important thing people consider in a phone is the design language and craftsmanship.Whether a consumer chooses the Razr or the Galaxy Z Flip, both phones have fascinating new technology that’s largely untested on a large scale, and these phones are expensive to manufacture. Despite the high price of the Razr, Mani believes there is a set of customers who would want to spend the money on a foldable phone. “The market is big enough for foldable phones,” he said confidently. The new Razr’s Rs 124,999 price includes 18 per cent GST, which has increased the cost of the device in India. Fluctuation in the exchange rate and local duties have further added to the retail price of the Razr. The phone has been made in China and not in India, where Motorola manufactures its other smartphones.Mani agrees that the foldable devices are in the early stages and it will take some time to see the growth in the category. “The foldable itself is at a very nascent phase but we think the category will grow significantly over the next one or two years,” he said, adding that the company will continue to invest in the foldable tech and work with our partners to develop further functionalities on it.”One big feature the Razr lacks is the 5G connectivity. Although 5G networks are not going to be live in India this year, if you are going to spend Rs 124,999 on a phone, you might expect the feature to be there in the device. However, Mani said the company’s priority was to get the foldable phone right and 5G was not something Motorola aimed to add in the Razr.Motorola hasn’t announced a 5G smartphone yet, but the company is looking at this space closely. In fact, both foldables and 5G are important areas for Motorola in the coming years.Mani was tightlipped on the company’s next foldable phone, but he did say that the team is evaluating multiple designs and form factors. Virtually every smartphone maker is working on foldable smartphones and trying to perfect the technology.The new Razr, which was intended to go on sale from April 2 in India, could be delayed further due to the three-week pan-India lockdown. The country has been put under complete lockdown for 21 days in an aim to curtail the spread of coronavirus in the nation of 1.3 billion people. Flipkart, the exclusive online partner to sell the Razr, has temporarily suspended operations in view of the 21-day lockdown. The phone was also supposed to be available from the top 200 offline stores in India.📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlinesFor all the latest Technology News, download Indian Express App."
